CHARGE,CHARGE_TYPE_CLASSIFICATION
DRIVING WHILE LICENSE REVOKED-DUI,misdemeanor
PUBLIC INTOXICATION,misdemeanor
DUI 2ND OFFENSE,misdemeanor
DRIVING WHILE LICENSE REVOKED-DUI,misdemeanor
FRAUDULENT SCHEMES,felony
NO INSURANCE,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
FRAUDULENT SCHEMES,felony
SHOPLIFTING,misdemeanor
VIOLATION OF PROTECTIVE ORDER,misdemeanor
"OBTAINING MONEY, PROPERTY, AND SERVICES BY FALSE PRETENSES",misdemeanor
"OBTAINING MONEY, PROPERTY, AND SERVICES BY FALSE PRETENSES",misdemeanor
OBSTRUCTING,misdemeanor
DOMESTIC BATTERY - UNLAWFUL PHYSICAL CONTACT OF INSULTING/PROVOKING NATURE (FAMILY/HOUSEHOLD MEMBER),misdemeanor
FAILURE TO GIVE FINGERPRINTS,misdemeanor
DOMESTIC ASSAULT - COMMITTING VIOLENT INJURY OR CAUSING APPREHENSION OF SAME (FAMILY/HOUSEHOLD MEMBER),misdemeanor
POSSESSION OF MARIJUANA,misdemeanor
DOMESTIC BATTERY - COMMITTING VIOLENT INJURY OR CAUSING APPREHNSION OF SAME (FAMILY/HOUSEHOLD MEMBER),misdemeanor
PUBLIC INTOXICATION,misdemeanor
DRIVING WHILE IN IMPAIRED STATE,misdemeanor
DRIVING WHILE LICENSE SUSPENDED/REVOKED GENERAL,misdemeanor
DRIVING WHILE LICENSE REVOKED-DUI,misdemeanor
PETIT LARCENY,misdemeanor
NO PROOF OF INSURANCE,misdemeanor
RECEIVING/TRANSFERRING STOLEN GOODS,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
REGISTRATION OF VEHICLES,misdemeanor
OPERATION WITHOUT CERT INSPECTION OR FAILURE TO PRODUCE CERTIFICATE;PENALTY FOR MISDEMEANOR,petty_offense
NO VEHICLE INSURANCE,misdemeanor
DRIVING WHILE LICENSE SUSPENDED OR REVOKED GENERAL,misdemeanor
DRIVING SUSPENDED/REVOKED NON-DUI,misdemeanor
DOMESTIC BATTERY,misdemeanor
FAILURE TO MAINTAIN CONTROL,misdemeanor
DRIVING SUSPENDED/REVOKED GENERAL,misdemeanor
SHOPLIFTING,misdemeanor
DRIVING SUSPENDED/REVOKED NON-DUI,misdemeanor
SHOPLIFTING,misdemeanor
DRIVING WHILE LICENSE REVOKED DUI,misdemeanor
DRIVING SUSPENDED/REVOKED NON-DUI,misdemeanor
SPEEDING,misdemeanor
PETIT LARCENY,misdemeanor
DRIVING WHILE LICENSE SUSPENDED / REVOKED; GENERAL,misdemeanor
TRAFFIC CONTROL SIGNAL VIOLATIONS,misdemeanor
DELIVERY OF A CONTROLLED SUBSTANCE (OXYCODONE),felony
CONSPIRACY,felony
MANUFACTURE/ DELIVER/ POSSESS WITH INTENT TO MANUFACTURE/ DELIVER A CONTROLLED SUBSTANCE,felony
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
CONSPIRACY,felony
SPEEDING,misdemeanor
DRIVING SUSPENDED,misdemeanor
NO SEATBELT,misdemeanor
BURGLARY,felony
SHOPLIFTING LESS THAN $500 SECOND OFFENSE,misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE,felony
TRESPASSING IN STRUCTURE OR CONVEYANCE,misdemeanor
CHILD NEGLECT CREATING RISK,felony
SHOPLIFTING LESS THAN $500 SECOND OFFENSE,misdemeanor
SHOPLIFTING ($500) 2ND,misdemeanor
USE OF TOBACCO IN CERTAIN AREA OF CERTAIN PUBLIC SCHOOLS,misdemeanor
SHOPLIFTING(3RD OFFENSE),felony
TRESPASSING IN STRUCTURE OR CONVEYANCE,misdemeanor
BURGLARY,felony
GROSS NEGLECT OF A CHILD CREATING SUBSTANTIAL RISK OF DEATH OR SERIOUS BODILY INJURY,felony
PETIT LARCENY,misdemeanor
SHOPLIFTING THIRD OFFENSE,felony
GROSS NEGLECT OF A CHILD CREATING SUBSTANTIAL RISK OF DEATH OR SERIOUS BODILY INJURY,felony
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE,felony
USE OF TOBACCO IN CERTAIN AREAS OF CERTAIN PUBLIC SCHOOLS,misdemeanor
PETIT LARCENY,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
SHOPLIFTING THIRD OFFENSE,felony
SHOPLIFTING THIRD OFFENSE,felony
SHOPLIFTING($500) 2ND,misdemeanor
SHOPLIFTING 3RD,felony
GROSS NEGLECT OF A CHILD CREATING SUBSTANTIAL RISK OF DEATH OR SERIOUS BODILY INJURY,felony
OBSTRUCTING OFFICER,misdemeanor
POSSESSION WITH INTENT TO DELIVER CONTROLLED SUBSTANCE,felony
RECEIVING STOLEN PROPERTY,felony
INTIMIDATION OF A WITNESS,felony
POSSESSION WITH INTENT TO DELIVER CONTROLLED SUBSTANCE,felony
POSSESSION WITH INTENT TO DELIVER CONTROLLED SUBSTANCE,felony
OPERATION WITHOUT INSPECTION,misdemeanor
VEHICLES MUST STOP AT THROUGH HIGHWAYS; ERECTION OF SIGNS,misdemeanor
DRIVING ON SUSPENDED,misdemeanor
EXPIRED REGISTRATION,misdemeanor
NO PROOF OF INSURANCE,misdemeanor
NO VEHICLE INSURANCE,misdemeanor
DRIVING ON SUSPENDED (MISC),misdemeanor
NO INSURANCE,misdemeanor
DRIVING SUSPENDED/REVOKED GENERAL,misdemeanor
SPEEDING,misdemeanor
SPEEDING,misdemeanor
OPERATION OF VEHICLES WITHOUT EVIDENCES OF REGISTRATION,misdemeanor
DRIVING SUSPENDED,misdemeanor
FAILURE TO CHANGE ADDRESS,misdemeanor
DRIVE ON SUSPENDED,misdemeanor
SIMPLE POSS OF MARIJUANA,misdemeanor
DEFECTIVE EQUPMENT,misdemeanor
DRIVING WHILE LICENSE SUSPENDED/REVOKED GENERAL,misdemeanor
DRIVING WHILE LICENSE SUSPENDED OR REVOKED,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
FALSE REPRESENTATIONS,misdemeanor
CELL PHONE VIOLATION,misdemeanor
SPEEDING,misdemeanor
MOTOR VEHICLE INSPECTION,misdemeanor
BREAKING AND ENTERING,felony
CELL TALKING/TEXTING VIOLATION,petty_offense
DRIVING SUSPENDED/REVOKED DUI,misdemeanor
BURGLARY,felony
OPERATION WITHOUT CERT INSPECTION OR FAILURE TO PRODUCE CERTIFICATE;PENALTY FOR MISDEMEANOR,misdemeanor
PETIT LARCENY,misdemeanor
DRIVING WHILE LICENSE SUSPENDED/REVOKED GENERAL,misdemeanor
DRIVING SUSPENDED-2ND,misdemeanor
DRIVING SUSPENDED/REVOKED NON-DUI,misdemeanor
DRIVING WHILE LICENSE SUSPENDED/REVOKED GENERAL,misdemeanor
DUTY TO GIVE INFORMATION AND RENDER AID,misdemeanor
DRIVING WHILE LICENSE REVOKED-DUI,misdemeanor
BREAKING AND ENTERING,felony
GRAND LARCENY,felony
GRAND LARCENY,felony
POSSESSION OF STOLEN VEHICLE,felony
IMPROPER USE OF EVIDENCES OF REGISTRATION,misdemeanor
IMPROPER USE OF EVIDENCES OF REGISTRATION,misdemeanor
DRIVING REVOKED DUI,misdemeanor
ENTERING WITHOUT BREAKING,felony
DRIVING SUSPENDED/REVOKED NON-DUI,misdemeanor
POSSESSION OF STOLEN VEHICLE,felony
DRIVING WHILE LICENSE REVOKED DUI,misdemeanor
EVERY OWNER OR REGISTRANT OF A MOTOR VEHICLE REQUIRED TO BE REGISTERED AND LICENSED IN THIS STATE,misdemeanor
EXPIRATION OF REGISTRATION AND CERTIFICATES OF TITLE,misdemeanor
DRIVING SUSPENDED/REVOKED DUI,misdemeanor
FLEEING WITH RECKLESS INDIFFERENCE,felony
BREAKING AND ENTERING,felony
PETIT LARCENY,misdemeanor
NO VEHICLE INSURANCE,misdemeanor
DRIVING LICENSE SUSPENDED/REVOKED GENERAL,misdemeanor
NO INSURANCE,misdemeanor
IMPROPER USE OF EVIDENCES OF REGISTRATION,petty_offense
BURGLARY,felony
REGISTRATION VIOLATION,misdemeanor
FISH AND FISHING VIOLATION,misdemeanor
OPERATION OF VEHICLES WITHOUT EVIDENCES OF REGISTRATION,misdemeanor
DRIVING UNDER THE INFLUENCE FIRST OFFENSE,misdemeanor
DRIVING UNDER THE INFLUENCE FIRST OFFENSE,misdemeanor
DOG RUNNING AT LARGE,misdemeanor
DRIVING SUSPENDED/REVOKED FOR DRIVING UNDER THE INFLUENCE OFFENSE FIRST OFFENSE,misdemeanor
POSSESSION OF A CONTROLLED SUBSTANCE LESS THAN 15 GRAMS,misdemeanor
DOG RUNNING AT LARGE,misdemeanor
CONSPIRACY TO POSSESS WITH INTENT TO DELIVER MARIJUANA,felony
SPEEDING,misdemeanor
OBSTRUCTING AN OFFICER,misdemeanor
EMBEZZLEMENT,felony
SHOPLIFTING,misdemeanor
DISORDERLY CONDUCT,misdemeanor
OBSTRUCTING AN OFFICER,misdemeanor
CHILD ABUSE RESULTING IN INJURY,felony
CHILD NEGLECT CREATING RISK OF INJURY,misdemeanor
SEXUAL ABUSE IN THE FIRST DEGREE,felony
SEXUAL ABUSE IN THE FIRST DEGREE,felony
BRIBERY,felony
STOP SIGN VIOLATION,misdemeanor
DOMESTIC BATTERY OR DOMESTIC ASSAULT - 3RD OFFENSE,felony
DOMESTIC BATTERY,misdemeanor
LITTERING,misdemeanor
DOMESTIC ASSAULT,misdemeanor
DOMESTIC BATTERY,misdemeanor
BURGLARY,felony
HARASSMENT - REPEATEDLY MAKING CREDIBLE THREATS AGAINST ANOTHER,misdemeanor
DOMESTIC BATTERY,misdemeanor
FALSE CERTIFICATES,misdemeanor
CERTIFICATE OF INSURANCE,misdemeanor
DOMESTIC BATTERY,misdemeanor
INTERFERENCE WITH OFFICERS OR MEMBERS (WVSP); FALSE INFORMATION,misdemeanor
ESCAPE OR ATTEMPT TO ESCAPE FROM CUSTODY OR INSTITUTION,felony
DISORDERLY CONDUCT,misdemeanor
ESCAPE OR ATTEMPT TO ESCAPE FROM CUSTODY OR INSTITUTION,felony
ESCAPE OR ATTEMPT TO ESCAPE FROM CUSTODY OR INSTITUTION,felony
DOMESTIC BATTERY,misdemeanor
ESCAPE OR ATTEMPT TO ESCAPE FROM CUSTODY OR INSTITUTION,felony
ATTEMPTED ESCAPE,felony
DISORDERLY CONDUCT,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
5. FAILURE TO OPERATE A MOTOR VEHICLE ON THE RIGHT-HAND SIDE OF THE ROADWAY,misdemeanor
DRIVING UNDER THE INFLUENCE WITH AN ALCOHOL CONCENTRATION IN BLOOD GREATER THAN OR EQUAL TO .15,misdemeanor
3. OPERATING A VEHICLE WITHOUT EVIDENCES OF REGISTRATION,misdemeanor
2. UNSIGNED REGISTRATION,misdemeanor
4. FAILURE TO FULLY STOP BEFORE EMERGING FROM AN ALLEY OR A PRIVATE DRIVEWAY,misdemeanor
1. CONSUMING AN ALCOHOLIC BEVERAGE WHILE IN THE PASSENGER AREA OF A MOTOR VEHICLE ON A PUBLIC HIGHWAY,misdemeanor
DOMESTIC ASSAULT,misdemeanor
MANUFACTURE / DELIVER / POSSESS WITH INTENT TO MANUFACTURE / DELIVER,felony
MANUFACTURE / DELIVER / POSSESS WITH INTENT TO MANUFACTURE / DELIVER,felony
PERSONS PROHIBITED FROM POSSESSING FIREARMS,felony
SPEEDING,misdemeanor
OBSTRUCTING AN OFFICER,misdemeanor
SPEED LIMITATIONS GENERALLY;PENALTY(10 MPH OR LESS ABOVE),misdemeanor
EXPIRED MVI,misdemeanor
GRAND LARCENY,felony
SHOPLIFTING,misdemeanor
OPERATORS-FAILURE TO CHANGE ADDRESS,misdemeanor
PRESCRIPTION FRAUD,felony
EXPIRED MVI,misdemeanor
BURGLARY,felony
GRAND LARCENY,felony
EXPIRATION OF REGISTRATION AND CERTIFICATES OF TITLE,misdemeanor
PRESCRIPTION FRAUD,felony
ATTEMPTED ROBBERY 1ST DEGREE,felony
BURGLARY,felony
OBSTRUCTING OFFICER,misdemeanor
DOMESTIC BATTERY,misdemeanor
DOMESTIC BATTERY,misdemeanor
VIOLATION OF BAIL,misdemeanor
ESCAPE OR ATTEMPT TO ESCAPE FROM CUSTODY OR INSTITUTION,misdemeanor
DOMESTIC BATTERY,misdemeanor
SHOPLIFTING,misdemeanor
OBSTRUCTING OFFICER,misdemeanor
LAW ENFORCEMENT OFFICER OBSERVES ANY VIOLATION OF BAIL CONDITION,misdemeanor
FLEEING FROM OFFICER,misdemeanor
TRESPASS IN STRUCTURE OR CONVEYANCE,misdemeanor
DOMESTIC BATTERY-UNLAWFUL OR INTENTIONAL PHYSICAL CONTACT OR HARM TO FAMILY OR HOUSEHOLD MEMBER,misdemeanor
MISDEMEANOR OFFENSE FOR VIOLATION OF PROTECTIVE ORDER MANDATORY PROVISIONS 48-27-502 (A) OR (B),misdemeanor
"MISDEMANOR OFFENSES FOR VIOLATION OF PROTECTIVE ORDER, REPEAT OFFENES, PENALTIES",misdemeanor
"MISDEMEANOR OFFENSES FOR VIOLATION OF PROTECTIVE ORDER, REPEAT OFFENSES, PENALTIES",misdemeanor
5. PETIT LARCENY,misdemeanor
3. FORGERY OF A PUBLIC RECORD,felony
POSSESSION WITH INTENT TO DELIVER MARIJUANA,felony
1. PROVIDING FALSE INFORMATION TO A LAW ENFORCEMENT OFFICER,misdemeanor
5. DRIVING SUSPENDED/REVOKED FOR NON-DRIVING UNDER THE INFLUENCE OFFENSE,misdemeanor
3. FAILURE TO UPDATE NEW OWNER PLATES AFTER 10 DAYS,misdemeanor
DRIVING SUSPENDED/REVOKED FOR NON-DRIVING UNDER THE INFLUENCE OFFENSE,misdemeanor
2. CONSPIRACY TO POSSESS WITH INTENT TO DELIVER MARIJUANA,felony
1. POSSESSION WITH INTENT TO DELIVER MARIJUANA,felony
4. IMPROPER USE OF EVIDENCES OF REGISTRATION,misdemeanor
UNLAWFUL INJURY TO OR DESTRUCTION OF PROPERTY,misdemeanor
DOMESTIC BATTERY,misdemeanor
4. IDENTITY THEFT,felony
2. DUTY UPON STRIKING AN UNATTENDED VEHICLE,misdemeanor
DRIVING SUSPENDED/REVOKED DUI,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
POSSESSION CONTROLLED SUBSTANCE,misdemeanor
ATTEMPTING TO OPERATE A CLANDESTINE DRUG LAB,felony
ATTEMPTED BURGLARY,felony
MANUFACTURING A CONTROLLED SUBSTANCE,felony
UNLAWFUL METHODS OF HUNTINGTON-INTOXICATED,petty_offense
DOMESTIC BATTERY,misdemeanor
DOMESTIC BATTERY,misdemeanor
DELIVERY OF CONTROLLED SUBSTANCE,felony
CONSPIRACY TO VIOLATE A CHAPTER (DNR) WITHOLDING INFORMATION; OBSTRUCTING OFFICERS,misdemeanor
DELIVERY OF CONTROLLED SUBSTANCE,felony
DRIVING SUSPENDED /REVOKED LICENSE FOR DUI,misdemeanor
DRIVING UNDER THE INFUENCE WITH AN ALCOHOL CONCENTRATION IN BLOOD LESS THAN .15,misdemeanor
DRIVING SUSPENDED /REVOKED LICENSE FOR DUI,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
DRIVING SUSPENDED /REVOKED LICENSE FOR DUI,misdemeanor
DOMESTIC BATTERY,misdemeanor
OPERATION OF VEHICLES WITH SAFETY BELTS,misdemeanor
OPERATION WITHOUT INSPECTION,misdemeanor
KNOWINGLY POSSESS CONTROLLED SUBSTANCE WITHOUT VALID PRESCRIPTION,misdemeanor
FALSE REPORTING AN EMERGENCY INCIDENT,misdemeanor
BATTERY,misdemeanor
DRIVING WHILE LICENSE SUSPENDED / REVOKED; GENERAL,misdemeanor
POSSESSION OF SCHEDULE CONTROLLED SUBSTANCE,misdemeanor
POSSESSION WITH INTENT TO DELIVER,felony
POSSESSION WITH INTENT TO DELIVER CONTROLLED SUBSTANCE,felony
SHOPLIFTING,misdemeanor
SHOPLIFTING,misdemeanor
POSSESSION WITH INTENT TO DELIVER CONTROLLED SUBSTANCE,felony
TEXTING WHILE DRIVING,misdemeanor
POSSESSION CONTROLLED SUBSTANCE,misdemeanor
POSSESSION WITH INTENT TO DELIVER SCHEDULE I -HEROIN,felony
CONSPIRACY,felony
PETIT LARCENY,misdemeanor
PETIT LARCENY,misdemeanor
PETIT LARCENY,misdemeanor
PETIT LARCENY,misdemeanor
BREAKING AND ENTERING,felony
UNLAWFUL INJURY TO OR DESTRUCTION OF PROPERTY,misdemeanor
PETIT LARCENY,misdemeanor
UNLAWFUL INJURY TO OR DESTRUCTION OF PROPERTY,misdemeanor
UNLAWFUL INJURY TO OR DESTRUCTION OF PROPERTY,misdemeanor
UNLAWFUL INJURY TO OR DESTRUCTION OF PROPERTY,misdemeanor
UNLAWFUL INJURY TO OR DESTRUCTION OF PROPERTY,misdemeanor
PETIT LARCENY,misdemeanor
PETIT LARCENY,misdemeanor
PETIT LARCENY,misdemeanor
UNLAWFUL INJURY TO OR DESTRUCTION OF PROPERTY,misdemeanor
UNLAWFUL INJURY TO OR DESTRUCTION OF PROPERTY,misdemeanor
PETIT LARCENY,misdemeanor
UNLAWFUL INJURY TO OR DESTRUCTION OF PROPERTY,misdemeanor
PETIT LARCENY,misdemeanor
PETIT LARCENY,misdemeanor
PETIT LARCENY,misdemeanor
UNLAWFUL INJURY TO OR DESTRUCTION OF PROPERTY,misdemeanor
UNLAWFUL INJURY TO OR DESTRUCTION OF PROPERTY,misdemeanor
UNLAWFUL INJURY TO OR DESTRUCTION OF PROPERTY,misdemeanor
UNLAWFUL INJURY TO OR DESTRUCTION OF PROPERTY,misdemeanor
UNLAWFUL INJURY TO OR DESTRUCTION OF PROPERTY,misdemeanor
PETIT LARCENY,misdemeanor
UNLAWFUL INJURY TO OR DESTRUCTION OF PROPERTY,misdemeanor
PETIT LARCENY,misdemeanor
UNLAWFUL INJURY TO OR DESTRUCTION OF PROPERTY,misdemeanor
PETIT LARCENY,misdemeanor
OPERATION WITHOUT CERT INSPECTION OF FAILURE TO PRODUCE CERTIFICATE; PENALTY FOR MISDEMEANOR,misdemeanor
SEAT BELT VIOLATION,misdemeanor
POSSESSION OF CONTROLLED SUBSTANCE,misdemeanor
BURGLARY BY ENTERING WITH OR WITHOUT BREAKING (NIGHTTIME OR DAYTIME) (1-15 YEARS),felony
KNOWINGLY/INTENTIONAL POSSESSION OF CONTROLLED SUBSTANCE WITHOUT VALID PRESCRIPTION,misdemeanor
BURGLARY,felony
UNLAWFUL INJURY TO OR DESTRUCTION OF PROPERTY,felony
KNOWINGLY/INTENTIONAL POSSESSION OF CONTROLLED SUBSTANCE WITHOUT VALID PRESCRIPTION,felony
DESTRUCTION OF PROPERTY,misdemeanor
FRAUDULENT SCHEMES,felony
UNEMPLOYMENT VIOLATION,misdemeanor
CONSPIRACY,misdemeanor
CONTRIBUTING TO DELINQUENCY OF A MINOR,misdemeanor
CONTRIBUTING TO DELINQUENCY OF A MINOR,misdemeanor
TRESPASS,misdemeanor
CONTRIBUTING TO DELINQUENCY OF A MINOR,misdemeanor
CONTRIBUTING TO DELINQUENCY OF A MINOR,misdemeanor
IMPROPER INSPECTION,misdemeanor
IMPROPER REGISTRATION,misdemeanor
DRIVING WHILE LICENSE SUSPENDED OR REVOKED; GENERAL,misdemeanor
CONTRIBUTING TO THE DELINQUENCY OF A CHILD BY PERSON 18 YEARS OR OLDER,misdemeanor
TEXTING WHILE DRIVING,misdemeanor
OBSTRUCTING OFFICER,misdemeanor
EXPIRED REGISTRATION,misdemeanor
POSSESSION CONT/SUB LESS THAN 15 GRAMS,misdemeanor
FORGERY OF A CREDIT CARD W/ INTENT TO DEFRAUD,felony
DRIVING A VEHICLE WHILE IN AN IMPAIRED STATE,misdemeanor
ACCIDENT INVOLVING DAMAGE TO A VEHICLE,misdemeanor
DRIVING WHILE LICENSE SUSPENDED OR REVOKED; GENERAL,misdemeanor
MINORS POSS OF ALCOHOL,misdemeanor
POSSESSION CONT/SUB LESS THAN 15 GRAMS,misdemeanor
"MISDEMEANOR OFFENSES FOR VIOLATION OF PROTECTIVE ORDER,REPEAT OFFENSES;PENALTIES",misdemeanor
DOMESTIC BATTERY-UNLAWFUL PHYSICAL CONTACT OR INSULTING/PROVOKING NATURE (FAMILY/HOUSEHOLD MEMBER),misdemeanor
SHOPLIFTING,misdemeanor
SPEEDING,misdemeanor
DRIVING WHILE LICENSE SUSPENDED OR REVOKED; GENERAL,misdemeanor
DRIVING WHILE LICENSE SUSPENDED OR REVOKED; GENERAL,misdemeanor
SPEEDING,misdemeanor
FUGITIVE FROM JUSTICE,felony
DELIVERY CONTROLLED SUBSTANCE,felony
CONSPIRACY TO COMMIT DELIVERY OF A CONTROLLED SUBSTANCE,felony
DELIVERY CONTROLLED SUBSTANCE,felony
TRUANCY,misdemeanor
NO PRROF OF INSURANCE,misdemeanor
SPEEDING,misdemeanor
DRIVING ON A SUSPENDED/REVOKED LICENSE-NON DUI,misdemeanor
ASSAULT,felony
OBTAIN MONEY UNDER FALSE PRETENSE,felony
PETIT LARCENY,misdemeanor
PETIT LARCENY,misdemeanor
ROBBERY-2ND DEGREE,felony
UNLAWFUL POSSESSION OF CONTROLLED SUBSTANCE,misdemeanor
BATTERY,misdemeanor
LICENSE AND REGISTRATION REQUIRED,misdemeanor
OBSTRUCTING OFFICER,misdemeanor
DISORDERLY CONDUCT,misdemeanor
TRUANCY,misdemeanor
PROVIDING FALSE INFORMATION TO A LAW ENFORCMENT OFFICER,misdemeanor
DOMESTIC BATTERY,misdemeanor
POSSESSION CONTROLLED SUBSTANCE LESS THAN 15 GRAMS,misdemeanor
OPERATION WITHOUT CERT INSPECTION OR FAILURE TO PRODUCE CERTIFICATE;PENALTY FOR MISDEMEANOR,misdemeanor
DEFECTIVE EQUIPMENT,misdemeanor
ASSAULT,misdemeanor
DUI-1ST OFFENSE,misdemeanor
DRIVING UNDER THE INFLUENCE - 3RD OFFENSE,felony
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE,misdemeanor
SHOPLIFTING LESS THAN $500,misdemeanor
DEFECTIVE EQUIPMENT,misdemeanor
MANUFACTURE/DELIVER/POSSESS WITH INTENT TO MANUFACTURE/DELIVER (SCHEDULE I OR II NARCOTIC),felony
KNOWINGLY OR INTENTIONALLY POSSESSING A CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
WANTON ENDANGERMENT WITH FIREARM,felony
DRIVING SUSPENDED / REVOKED NON DUI,misdemeanor
BRANDISHING DEADLY WEAPONS,misdemeanor
DOMESTIC ASSAULT,misdemeanor
MALICIOUS WOUNDING,felony
MALICIOUS WOUNDING,felony
BRANDISHING DEADLEY WEAPON,misdemeanor
DOMESTIC ASSAULT,misdemeanor
ACCIDENTS INVOLVING DAMAGE TO VEHICLE,misdemeanor
LEAVING THE SCENE OF ACCIDENT,misdemeanor
ACCIDENTS INVOLVING DAMAGE TO VEHICLE,misdemeanor
DELIVERY OF A CONTROLLED SUBSTANCE,felony
TRANSFER & RECEIVE,felony
FRAUDULENT USE OF ACCESS DEVICE,felony
IMPROPER USE REGISTRATION,misdemeanor
DELIVERY OF A CONTROLLED SUBSTANCE,felony
POSSESSION WITH INTENT TO DELIVER CONTROLLED SUBSTANCE,misdemeanor
COMPUTER FRAUD,felony
PETIT LARCENY,misdemeanor
PETIT LARCENY,misdemeanor
RECEIVING STOLEN PROPERTY,misdemeanor
ACCIDENTS INVOLVING DAMAGE TO VEHICLE,misdemeanor
GRAND LARCENY,felony
RECEIVING/TRANSFERRING STOLEN GOODS,misdemeanor
COMPUTER FRAUD,felony
FLEEING FROM OFFICER,felony
CONSPIRACY,felony
POSSESSION WITH INTENT TO DELIVER CONTROLLED SUBSTANCE,felony
FRAUD IN CONNECTION WITH ACCESS DEVICE,felony
OPERATION WITHOUT INSPECTION,misdemeanor
FALSE PRETENSES,misdemeanor
OPERATION WITHOUT SAFETY BELTS,misdemeanor
LEAVING THE SCENE OF ACCIDENT,misdemeanor
ATTEMPTED BURGLARY,felony
CONSPIRACY,felony
GRAND LARCENY,felony
CONSPIRACY,felony
FLEEING FROM OFFICER ON FOOT,misdemeanor
FORGERY,felony
BURGLARY,felony
BURGLARY,felony
GRAND LARCENY,felony
FALSE PRETENSES,felony
LEAVING THE SCENE OF ACCIDENT,misdemeanor
SPEEDING IN SCHOOL ZONE,misdemeanor
UNLAWFUL TAKING OF VEHICLE,misdemeanor
RECEIVING OR TRANSFERRING STOLEN VEHICLES,felony
DAYTIME BURGLARY,felony
FLEEING IN VEHICLE FROM LAW ENFORCEMENT,felony
ASSAULT,misdemeanor
KNOWINGLY OR INTENTIONALLY POSSESSING CONTROLLED SUBSTANCE WITHOUT A VALID PRESCRIPTION,misdemeanor
RESISTING ARREST,misdemeanor
GROSS NEGLECT OF A CHILD CREATING SUBSTANTIAL RISK OF DEATH OR SERIOUS BODILY INJURY,felony
CONSPIRACY,felony
GROSS NEGLECT OF A CHILD,felony
POSSESSION WITH INTENT,felony
POSSESSION WITH INTENT,felony
CONSPIRACY,felony
TRUANCY,misdemeanor
PETIT LARCENY,misdemeanor
POSSESSION WITH INTENT TO DELIVER CONTROLLED SUBSTANCE,misdemeanor
DRIVING WHILE LICENSE SUSPENDED OR REVOKED,misdemeanor
"CHILD ABUSE BY A PARENT, GUARDIAN, OR CUSTODIAN CREATING A RISK OF BODILY INJURY - FIRST OFFENSE",misdemeanor
CHILD ABUSE CAUSING BODILY INJURY,felony
IMPROPER INSPECTION,misdemeanor
DOMESTIC ASSAULT,misdemeanor
ASSAULT,misdemeanor
ASSAULT,misdemeanor
DOMESTIC ASSAULT,misdemeanor
REPORTING A FALSE EMERGENCY INCIDENT,misdemeanor
PUBLIC INTOXICATION,misdemeanor
2ND OFFENSE BATTERY ON A GOVERNMENT OFFICIAL,felony
ALL PERSONS ARRESTED OR DETAINED PURSUANT TO THE REQUIREMENTS OF THIS ARTICLE SHALL GIVE FINGERPRINTS,misdemeanor
BATTERY,misdemeanor
ASSAULT ON POLICE OFFICER,misdemeanor
BATTERY ON POLICE OFFICER,misdemeanor
BATTERY ON POLICE OFFICER,misdemeanor
ASSAULT ON GOVERNMENT EMPLOYEE AND/OR MEDICAL PERSONNEL,misdemeanor
OBSTRUCTING AN OFFICER,misdemeanor
REPORTING A FALSE EMERGENCY INCIDENT,misdemeanor
ASSAULT,misdemeanor
DISORDERLY CONDUCT,misdemeanor
BATTERY ON POLICE OFFICER,misdemeanor
OBSTRUCTING OFFICERS,misdemeanor
REPORTING FALSE EMERGENCY INCIDENT,misdemeanor
DESTRUCTION OF PROPERTY,misdemeanor
DOMESTIC ASSAULT THIRD OFFENSE,felony
